,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
TCGA-D8-A146-01A-31D-A10Y-09,0.0030312917973600263,0.003031006367831856,0.0030308059253866823,0.003031426659690922,0.5354874930674756,0.3825609970252289,0.0030309158777547234,0.0030312619527331436,0.003031180874816833,0.060733620451721246
TCGA-EW-A2FW-01A-11D-A17D-09,0.004348214227536872,0.004349644243645255,0.004348621427962633,0.004348759046397828,0.2623981039323179,0.004349286185837202,0.004348658241564897,0.7028109283071506,0.004348827677089752,0.004348956710497239
TCGA-A7-A0CD-01A-11W-A019-09,0.0037044301511663966,0.003704696818451795,0.00370415530052292,0.22843283904247286,0.003704637386655605,0.003704630196056324,0.003704419043016545,0.7419310337783722,0.0037044613331746567,0.00370469695011067
TCGA-A8-A09K-01A-11W-A019-09,0.002381413248150692,0.0023815079531103464,0.002381335137153332,0.0023817985120413547,0.32517390914320327,0.1054685268789307,0.002381440655195426,0.5526864426674293,0.0023818729861175263,0.0023817528186682473
TCGA-AR-A0U0-01A-11D-A10G-09,0.09128479485721079,0.002857950928700434,0.158137649467489,0.002858281962399372,0.0028577207590767544,0.002857917237087048,0.0028580110351238554,0.5398489598812023,0.00285803688928043,0.19358067698242998
TCGA-A8-A07G-01A-11W-A050-09,0.001724594633475841,0.17142058374201935,0.0017247182073016612,0.15371625114218015,0.19105387534438936,0.0017246014201279909,0.0017246266535767426,0.2516202250295412,0.0017245903732665956,0.2235659334541212
TCGA-AR-A24Q-01A-12D-A167-09,0.0005749003143931836,0.12258115227622253,0.08957266690798915,0.07233060077764014,0.00057488151979179,0.0005748849274853525,0.0005748714590689348,0.0005748638530858153,0.0005748746087133592,0.7120663033556096
TCGA-D8-A27R-01A-11D-A16D-09,0.1038943733433771,0.0037049124003152717,0.003704778325726928,0.003705075952626952,0.19366899703341645,0.0037046660372301306,0.003704859747311667,0.003704783354242232,0.3112931476744188,0.36891440613133447
TCGA-D8-A1XR-01A-11D-A14K-09,0.004167211758998107,0.3829581618069384,0.004167606717507962,0.0041683579417241285,0.004167951340069068,0.5788263292217677,0.004167656904849187,0.009041169467263624,0.004167884389810343,0.004167670451071384
TCGA-B6-A0WV-01A-11D-A10G-09,0.0035718924659837235,0.0035720793511463188,0.003572734272846617,0.1503664032057907,0.003572421601643429,0.0035725609858219204,0.0035726602359980285,0.1723151472044981,0.0035725135704997566,0.6523115871057715
TCGA-E9-A1NA-01A-11D-A142-09,0.0011632317463360618,0.0011631563670720017,0.23647839246520785,0.0011631161929971622,0.0011631548114028716,0.0011630944754613733,0.0011631382395556789,0.0011631525706123226,0.31050689214036076,0.4448726709909939
TCGA-BH-A0BS-01A-11D-A12Q-09,0.006667361174984023,0.006668171358748344,0.006668521876395275,0.2211609272864322,0.00666936409892223,0.006669760232136115,0.006668368808208623,0.006668774263904644,0.7254904004364838,0.0066683504637846825
TCGA-B6-A1KI-01A-11D-A14K-09,0.1283857032294041,0.005000835318676843,0.005001509458969902,0.005001818910013028,0.005001078833769178,0.005001271264661706,0.0050014614335246775,0.6369975983198238,0.005001226511301232,0.1996074967198555
TCGA-S3-AA11-01A-31D-A41F-09,0.07126545485826048,0.2839989960507167,0.0015155298664799586,0.0015156544991500214,0.0015156666304707305,0.0015156416723483262,0.001515611788148041,0.0015156685006491096,0.001515612644105262,0.6341261634896714
TCGA-A2-A0CR-01A-11D-A228-09,0.000787570680331758,0.06848158932594005,0.8292764615489284,0.042675501748704006,0.0007876258309408475,0.0007875675214421497,0.000787591368596213,0.0007876134850575778,0.0007876199108337314,0.05484085857922532
TCGA-AO-A03O-01A-11W-A019-09,0.0012661621420052972,0.0012661044041771632,0.0012661637692261828,0.0012661001993613014,0.0012660640784519438,0.0012661484832508366,0.0012662223634083987,0.6521905348574566,0.0012661075544512228,0.3376803921482111
TCGA-E2-A15L-01A-11D-A12B-09,0.003449233896942392,0.0034494980476135325,0.003449287170523717,0.0034487835512488395,0.0034492649702158058,0.003449360353269282,0.27540405228805265,0.6970019416070004,0.0034493098980129836,0.0034492682171204606
TCGA-A8-A07F-01A-11W-A019-09,0.0037041939555921355,0.003704778488671884,0.00370514348712909,0.0037045220017038758,0.0037048435785842567,0.003704504292609574,0.0037048760060269244,0.9666571742745619,0.003705073857993745,0.0037048900571265194
TCGA-A7-A6VV-01A-22D-A33E-09,0.0020415574359867335,0.3107188550859278,0.0020413713883800904,0.12552903607746943,0.0020413212459008865,0.1269113689834095,0.4245922783976135,0.002041438434173379,0.0020413779326637132,0.0020413950184750033
TCGA-A8-A095-01A-11W-A019-09,0.0006371191525783461,0.02073188862724954,0.7188599437884098,0.000637090566542204,0.25594834894547625,0.0006371336420521234,0.0006371144165314901,0.0006371181866027477,0.0006370978450314786,0.000637144829525965
