,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
TCGA-D8-A146-01A-31D-A10Y-09,0.005109526517830127,0.005115722976638422,0.005095106658371881,0.07795433136360638,0.5722014912779384,0.3345238212056148
TCGA-EW-A2FW-01A-11D-A17D-09,0.0072711759036557895,0.007350025694416726,0.007296540487291962,0.007313294418548426,0.6486026903779374,0.32216627311814977
TCGA-A7-A0CD-01A-11W-A019-09,0.00621450355385615,0.28519015557711475,0.006194778356438462,0.006245455522220648,0.6899067494258362,0.006248357564533838
TCGA-A8-A09K-01A-11W-A019-09,0.003996586053704726,0.24235544583656346,0.0039963535772110205,0.00401666231889424,0.56885526231973,0.1767796898938966
TCGA-AR-A0U0-01A-11D-A10G-09,0.072733734909098,0.4725013388905572,0.14983660706582375,0.004824383129922012,0.29528049529470196,0.004823440709896996
TCGA-A8-A07G-01A-11W-A050-09,0.002902392711957119,0.2834708662153779,0.0029117842374077373,0.19876343605244506,0.5090467826971997,0.00290473808561241
TCGA-AR-A24Q-01A-12D-A167-09,0.0009708494361454773,0.3378073839168619,0.1236356299817648,0.535649252763861,0.0009680193255588139,0.0009688645758080728
TCGA-D8-A27R-01A-11D-A16D-09,0.14950633589924128,0.3260583746576598,0.006250526607640406,0.2723526421831233,0.23959919943935265,0.006232921212982616
TCGA-D8-A1XR-01A-11D-A14K-09,0.006974075795592086,0.17416814402547207,0.00699472241896663,0.007020158462408771,0.20354888147768077,0.6012940178198797
TCGA-B6-A0WV-01A-11D-A10G-09,0.0059853733895899154,0.006013826434750841,0.006045862844783854,0.7407702779983717,0.006040421125848792,0.23514423820665495
TCGA-E9-A1NA-01A-11D-A142-09,0.04715311880088454,0.5718180154196555,0.24892483115523656,0.1281850216458014,0.0019608560724604335,0.001958156905961692
TCGA-BH-A0BS-01A-11D-A12Q-09,0.011161449259979736,0.1160234720197392,0.011173817893804084,0.01122906960095254,0.5442210048083879,0.30619118641713655
TCGA-B6-A1KI-01A-11D-A14K-09,0.20092228201453993,0.7652970106623868,0.00841785565219222,0.008451789497045226,0.00846323291772386,0.008447829256111984
TCGA-S3-AA11-01A-31D-A41F-09,0.07276385695780829,0.6739800417068709,0.0025532761548752426,0.24559157253268268,0.0025572915988530025,0.002553961048910004
TCGA-A2-A0CR-01A-11D-A228-09,0.0013235845020277389,0.14039296756130246,0.8543004929211984,0.0013284278007370555,0.0013296337711575946,0.0013248934435768525
TCGA-AO-A03O-01A-11W-A019-09,0.0021324388306177906,0.6158723982831074,0.0021315176133814675,0.19368431589589843,0.002135097085367432,0.18404423229162756
TCGA-E2-A15L-01A-11D-A12B-09,0.005830670350518679,0.4009579661473228,0.18266910389795335,0.005798196924311383,0.005826207494519049,0.39891785518537476
TCGA-A8-A07F-01A-11W-A019-09,0.006208657993545965,0.564437719199821,0.006235140094526263,0.006236807197737579,0.4106440810548845,0.006237594459484678
TCGA-A7-A6VV-01A-22D-A33E-09,0.003467709157311719,0.30327016287581343,0.14640640291263535,0.11549581188036306,0.22004756867671385,0.21131234449716252
TCGA-A8-A095-01A-11W-A019-09,0.0010745887355587615,0.1559671076517659,0.8397364665684625,0.001072882378786351,0.0010746445719533974,0.0010743100934730821
TCGA-A2-A3XW-01A-11D-A23C-09,0.02435659535385004,0.024108685752534217,0.45634172169996773,0.13055569121188118,0.02407285557759522,0.34056445040417177
TCGA-A2-A0EO-01A-11W-A050-09,0.005786442928680324,0.23168395204480172,0.005787451231147739,0.005813103724404809,0.57115175018882,0.17977729988214547
TCGA-EW-A1J2-01A-21D-A13L-09,0.005109144424732956,0.3645022511559693,0.005133346072769381,0.0051000195562627745,0.6150482568150908,0.005106981975174897
TCGA-AR-A255-01A-11D-A167-09,0.1557947780325364,0.46537927231226683,0.24981301839101694,0.002807985914399205,0.002809603436255053,0.12339534191352543
TCGA-A8-A08P-01A-11W-A019-09,0.07118658023392797,0.0024787675665273465,0.26582418247688155,0.38047107495754556,0.0024807696214818966,0.2775586251436358
TCGA-B6-A0RT-01A-21D-A099-09,0.0033241845658614367,0.5393772979108776,0.14211208132936576,0.30859947003938043,0.0032929337081533732,0.0032940324463614306
TCGA-A2-A0CQ-01A-21W-A050-09,0.004586940708243422,0.004556584727855976,0.004536012811582272,0.4765872625126794,0.5051669709092325,0.00456622833040638
TCGA-B6-A0IE-01A-11W-A050-09,0.005258665966983587,0.5893167547158509,0.005258157324564299,0.005272661279082121,0.3896200329839372,0.005273727729581924
TCGA-BH-A0W7-01A-11D-A10Y-09,0.000792020347004657,0.0007911790446163966,0.8852255395001014,0.11160972030727062,0.000791311467758575,0.0007902293332484046
TCGA-A2-A0EQ-01A-11W-A050-09,0.0007210328362215535,0.09590395366562576,0.711816741885389,0.10126550534687521,0.0007224635833665165,0.08957030268252195
TCGA-AR-A1AS-01A-11D-A12Q-09,0.07349117842360167,0.004217212545772667,0.1279551872776521,0.1882942007670895,0.6018226396630385,0.004219581322845603
TCGA-D8-A27K-01A-11D-A16D-09,0.008409880065990217,0.008458417235604115,0.008554222284349133,0.008487267463751835,0.625621866555049,0.3404683463952558
TCGA-BH-A0BF-01A-21D-A12Q-09,0.005429763435538329,0.2241049347710432,0.0054502741698162025,0.37593995765001015,0.3836229618023344,0.0054521081712577265
TCGA-E2-A1IJ-01A-11D-A142-09,0.01125751399804146,0.6727923762028519,0.011188743241642901,0.2822282300208645,0.011264820638425956,0.011268315898173283
TCGA-BH-A1F5-01A-12D-A13L-09,0.005273869436271901,0.5574200530990301,0.005257136770688679,0.16286327392531239,0.26390982355011555,0.005275843218581366
TCGA-BH-A0B5-01A-11D-A12Q-09,0.002861721951536529,0.002857776905972651,0.6965921650305029,0.0028493734798472337,0.2217930336432575,0.07304592898888322
