,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
TCGA-D8-A146-01A-31D-A10Y-09,0.003795027835086957,0.003793998929533988,0.003793972446657755,0.3173807937319269,0.26986982906847057,0.29081120284181217,0.003794706860977437,0.10676046828553433
TCGA-EW-A2FW-01A-11D-A17D-09,0.005437717579409398,0.005450176808338994,0.0054407873905332055,0.00544228523825504,0.8270479677609065,0.14029565744766473,0.005440340232552472,0.005445067542339738
TCGA-A7-A0CD-01A-11W-A019-09,0.004635041410263656,0.00463967044098358,0.004632763825668518,0.22638907676599646,0.42776646530644974,0.004638519846132698,0.004635826574566541,0.3226626358299387
TCGA-A8-A09K-01A-11W-A019-09,0.0029793916418054673,0.0029801795315448965,0.0029796300959823254,0.002982564300164363,0.5936242149503824,0.002982805362367287,0.0029803793638527847,0.38849083475390045
TCGA-AR-A0U0-01A-11D-A10G-09,0.07923395178792697,0.0035775883595789105,0.0035783410577997707,0.12784643648686328,0.0035786647497884796,0.003578253063904894,0.3290485715415302,0.44955819295260746
TCGA-A8-A07G-01A-11W-A050-09,0.0021587309404221345,0.24095974280464072,0.0021611710793978077,0.19447400564560915,0.33464579418179724,0.00215869299428831,0.002159935030801998,0.2212819273230427
TCGA-AR-A24Q-01A-12D-A167-09,0.0007197467630189699,0.39804928237963605,0.000719788208085753,0.12441028680914781,0.0007196356585885658,0.0007197766043567679,0.39329453768270434,0.08136694589446175
TCGA-D8-A27R-01A-11D-A16D-09,0.17820293065254192,0.03251869766842803,0.00464369478425018,0.11660011354261514,0.004639709907003919,0.0046364923348285675,0.004640063514449857,0.6541182975958825
TCGA-D8-A1XR-01A-11D-A14K-09,0.005212018126733838,0.2448606200521492,0.005214575175303327,0.12964260018615292,0.005218340980031013,0.5994197665933393,0.005213920240846638,0.005218158645443701
TCGA-B6-A0WV-01A-11D-A10G-09,0.004467562670774576,0.004470394702044063,0.004474402837798302,0.18320234131071153,0.0044715924747601495,0.004472173192139971,0.13880864630435819,0.6556328865074132
TCGA-E9-A1NA-01A-11D-A142-09,0.044908575709806726,0.09394688833270762,0.08837172294472011,0.0014557974461934643,0.15125626587437013,0.0014558012561875636,0.37410167508312725,0.24450327335288724
TCGA-BH-A0BS-01A-11D-A12Q-09,0.008339668734209006,0.008349413759463829,0.008343609751400876,0.1568041696012353,0.31210486418962996,0.23222677585840024,0.008349882529899917,0.2654816155757608
TCGA-B6-A1KI-01A-11D-A14K-09,0.17555269614073105,0.006256239360579693,0.006260867981647101,0.0062644391494524245,0.006262069833047901,0.006260731022409067,0.006261285557712703,0.7868816709544201
TCGA-S3-AA11-01A-31D-A41F-09,0.06147568782208728,0.37376849082111596,0.0018976522283981358,0.0018981237017439664,0.0018976747444553695,0.0018972743553912837,0.0018973139182153565,0.5552677824085926
TCGA-A2-A0CR-01A-11D-A228-09,0.0009854733231051134,0.11092504806768032,0.8345171043707508,0.04962841716472907,0.0009860461043875576,0.0009856612597322274,0.0009859548119190349,0.0009862948976959828
TCGA-AO-A03O-01A-11W-A019-09,0.0015854480562998365,0.0015847927786017066,0.0015853274664800238,0.0015849537849793433,0.0015855183447825616,0.0015853389537003103,0.04080584152668513,0.9496827790884712
TCGA-E2-A15L-01A-11D-A12B-09,0.00431685035858513,0.004321024824061898,0.004318333509989033,0.004313969581866191,0.6466741063924406,0.14695676161683943,0.18477975835346025,0.00431919536275753
TCGA-A8-A07F-01A-11W-A019-09,0.004633516485167473,0.004636428492593778,0.004637146688999469,0.004636439239415134,0.4311551847050101,0.004636712486113654,0.004636908642645692,0.5410276632600547
TCGA-A7-A6VV-01A-22D-A33E-09,0.00255777872881274,0.13649481852235926,0.0025557395945541906,0.1247578994665916,0.20299481121122212,0.18576738161481704,0.3423162379903621,0.0025553328712810716
TCGA-A8-A095-01A-11W-A019-09,0.0007976609535443958,0.08043211274550473,0.8156954230283999,0.0007974092495122154,0.09988439969431614,0.0007977391668003447,0.0007975703499691176,0.0007976848119531949
TCGA-A2-A3XW-01A-11D-A23C-09,0.017911318089057684,0.017894041001487306,0.542489763291968,0.01787431803289933,0.01789016959483125,0.3500860525268977,0.017935089412450696,0.01791924805040811
TCGA-A2-A0EO-01A-11W-A050-09,0.004317353738309988,0.004317641479061216,0.004318666226121715,0.4130239298974022,0.004319700202202261,0.004319418293262771,0.004315743877171814,0.5610675462864682
TCGA-EW-A1J2-01A-21D-A13L-09,0.003794299042677444,0.0037949864678663587,0.0037972638730494166,0.0037925795793708195,0.7784933829625675,0.003796727754472036,0.003796098472399591,0.1987346618475968
