,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
TCGA-AA-3867-01A-01W-0995-10,0.0010104230107138544,0.0010104080926811596,0.0010103946897624119,0.0010101010910155597,0.0010104409028990071,0.0010103702413886266,0.9535722659306124,0.0010104156889122282,0.038344755786075116,0.0010104245659396497
TCGA-AD-6895-01A-11D-1924-10,5.758465167493704e-05,5.75856968730681e-05,5.7586111997396214e-05,5.757053001846602e-05,0.2566997227402465,0.298635765671699,0.20148026721872242,0.24283874769106872,5.758480046246106e-05,5.75848872369608e-05
TCGA-AA-3560-01A-01D-1953-10,0.005264773666974248,0.005265120843796614,0.005265025150948074,0.005263158569358059,0.005265494059774355,0.005265576921191079,0.952614697938448,0.005264947011751929,0.005265802103255895,0.005265403734501586
TCGA-CM-6676-01A-11D-1835-10,0.0009526733906587356,0.0009526559029819681,0.0595658044214066,0.000952381025954387,0.0009526416601526009,0.0009526229196871654,0.6594493344992366,0.2743165713486016,0.0009526491262634158,0.0009526657050570894
TCGA-AA-3819-01A-01W-0900-09,0.0005156015454002318,0.0005155956144122322,0.0005155759634651569,0.0005154639821447619,0.16675150795565105,0.0647841264040315,0.7648553125723794,0.0005155760753409702,0.0005156142084290088,0.0005156256787456121
TCGA-AA-A029-01A-01W-A00E-09,0.0011631699958454282,0.001163151274765076,0.0011631460861133544,0.0011627907926735008,0.0011631657123636655,0.0011631289369981805,0.6702176735740323,0.20132981391498833,0.12031077352947768,0.0011631861827423678
TCGA-AA-A01C-01A-01W-A00E-09,0.0012827109911928737,0.0012826126985640656,0.0012824937920800875,0.0012820513954345043,0.08023860544482361,0.001282417304562184,0.9095014959880577,0.0012824082305705892,0.0012825686452543703,0.001282635509460051
TCGA-CA-5256-01A-01D-1408-10,0.0012349314627974437,0.0012349287969403938,0.0012349359901341213,0.0012345680236330293,0.0012348820354705957,0.0012349007558403492,0.3802670837598771,0.5331736903328829,0.07791517417513089,0.0012349046672933673
TCGA-CM-6680-01A-11D-1835-10,0.0010991666507861038,0.001099171184726668,0.0757324951473213,0.0010989011823185598,0.0010991951449597591,0.0010992301472530146,0.7914424111203101,0.12513114371276413,0.0010991903829013444,0.001099095326658923
TCGA-AA-A03F-01A-11W-A096-10,0.000730157773656254,0.0007301544059931902,0.0007301634913278212,0.0007299270833519052,0.0007301467485238926,0.0007301423665471159,0.5036008158360891,0.3821292048208675,0.10915914891587204,0.0007301385577710746
TCGA-CK-4950-01A-01D-1719-10,0.0005292651517197825,0.06247265909657865,0.0005292679787072139,0.0005291005834275227,0.0005292661979974053,0.0005292627497661642,0.9332933966466709,0.0005292557703605074,0.0005292661126684561,0.0005292597121034235
TCGA-D5-6529-01A-11D-1771-10,0.0008774795954206897,0.0008774693262418094,0.08474961932521721,0.0008771930641451154,0.0008774582454527777,0.0008774287232682698,0.4580272457566852,0.45108120694764064,0.0008774479905082327,0.000877451025420099
TCGA-3L-AA1B-01A-11D-A36X-10,0.0006946502315408583,0.00069465365822524,0.051906780214483354,0.000694444497583146,0.0006946300054714519,0.0006946280647702957,0.753029065828675,0.19020189881801294,0.0006946141424582742,0.0006946345387793967
TCGA-AA-3844-01A-01W-0995-10,0.0007753596472955254,0.0007754014587407843,0.000775376882225902,0.0007751938769567266,0.0007754293570488119,0.10089861621711904,0.8928983531809017,0.000775399040210686,0.0007754212277250302,0.0007754491117755711
TCGA-AD-A5EJ-01A-11D-A28G-10,6.951196301276622e-05,6.951270331740804e-05,6.951180215848358e-05,6.949270960642082e-05,0.015080724600544779,0.6713974139647777,0.008483218565538086,0.26907215213785524,6.951225627143945e-05,0.03561894929691777
TCGA-G4-6306-01A-11D-1771-10,0.0008003178457853842,0.0008002969442728877,0.000800251155971695,0.0008000000559737859,0.000800215691916748,0.13003264641117823,0.5071449141096754,0.35722078930229134,0.0008002709487080794,0.0008002975342264429
TCGA-AA-3821-01A-01W-0995-10,0.00012743229232409936,0.00012743139595724814,0.00012742484971379182,0.00012738854642900047,0.00012742707335502997,0.3363220400308785,0.10474177715304797,0.558044222322473,0.00012742516905170018,0.0001274311667697213
TCGA-AA-3833-01A-01W-0900-09,0.00016426678805434293,0.00016426106026287975,0.00016426608211777158,0.00016420362794584154,0.00016426907509252352,0.4496000852204896,0.023120592815873746,0.5261295120243853,0.0001642766539431054,0.0001642666518348352
TCGA-CM-6164-01A-11D-1650-10,0.0012990670388363297,0.0012990815617208269,0.11452492708522312,0.0012987014119834033,0.0012991076044852228,0.17101579464931418,0.7053660498233326,0.0012990833578276095,0.0012991052252293793,0.001299082242047466
TCGA-AA-3850-01A-01W-0995-10,0.0008199097525420495,0.0008199161173625757,0.0008199307180372768,0.0008196722072946463,0.04719928608627376,0.0008199352623679538,0.8308332043014613,0.11622834641494445,0.0008198957293131369,0.0008199034104028215
TCGA-AA-3522-01A-01W-0831-10,0.003847424773417769,0.003847260060538985,0.0038476204624792927,0.0038461542569330864,0.0038473416112572096,0.003847346585076238,0.8020609578008269,0.003847427083886876,0.16716143748577864,0.003847029879805133
TCGA-A6-6781-01A-22D-A270-10,4.8463941473964435e-05,4.8463843440809335e-05,4.84634686665529e-05,4.8449616158212305e-05,4.846422941154401e-05,0.07981985499722753,4.84630109489859e-05,0.9197924490540674,4.846383180225547e-05,4.846400680252911e-05
TCGA-A6-6781-01A-22D-1924-10,5.072513039027789e-05,5.0724942186291765e-05,5.072462088308683e-05,5.070994307623976e-05,5.072535406175532e-05,0.04644988919984186,5.072420014899892e-05,0.9531443270394026,5.072458295574009e-05,5.072498705326602e-05
TCGA-AY-4071-01A-01W-1073-09,0.0008198490855009554,0.0008198589306054617,0.0008198920455389623,0.0008196722254222608,0.0008198854562180384,0.0008199348652636414,0.885215740644822,0.0008198796982096354,0.10822540113833252,0.0008198859100866395
TCGA-AA-3811-01A-01W-0995-10,5.535958870911058e-05,5.5358464784516065e-05,5.535848466262794e-05,5.5340348458468225e-05,5.535746625756624e-05,0.902519857417986,0.020171900517082484,0.07692074987761646,5.535900071027554e-05,5.535883373266009e-05
TCGA-AA-3526-01A-02D-1953-10,0.003572483659114108,0.0035721735521232582,0.0035723727013812286,0.003571428877441788,0.20192430219318325,0.003572214957443111,0.22189446494827242,0.551176448868062,0.003572219581727289,0.0035718906612515547
TCGA-5M-AAT6-01A-11D-A40P-10,5.264399629418574e-05,5.264467070275042e-05,5.2647242803249246e-05,5.2631583319808585e-05,5.2644706077285425e-05,0.5317473104930882,5.2645618310615986e-05,0.467831542120629,5.264619306416167e-05,5.26433757107414e-05
TCGA-G4-6625-01A-21D-1771-10,0.0008851493551349406,0.0008851641195680765,0.0008851914233333019,0.0008849558386276887,0.0008852033530236158,0.0008852366698194254,0.992033493269159,0.0008852329122758235,0.0008851980650036225,0.0008851749940544624
TCGA-G4-6298-01A-11D-1719-10,0.04480797700256888,0.0012824033633576258,0.0012824300707960294,0.001282051377192492,0.001282442625234779,0.001282383806157943,0.5391842069761745,0.4070313731521412,0.0012823748310732306,0.001282356795303153
TCGA-AA-3979-01A-01W-0995-10,0.0006624183371831756,0.0006624225262743802,0.0006624454698356028,0.0006622517373508673,0.0006624636136535679,0.07824810286997264,0.8283157224057567,0.0006624267561837505,0.08879935829842463,0.0006623879853648088
