,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
TCGA-AA-3867-01A-01W-0995-10,0.0017097994147602495,0.0017060684652197389,0.9234977371903376,0.06968036603705322,0.001704104449657349,0.0017019244429719237
TCGA-AD-6895-01A-11D-1924-10,9.695023906555172e-05,9.701889083257689e-05,0.2307779406438133,0.46556343561675617,0.004009001274659304,0.29945565333487306
TCGA-AA-3560-01A-01D-1953-10,0.008901678996252268,0.00886584518329506,0.7540068008789343,0.21049454782013016,0.008857464743046956,0.008873662378341206
TCGA-CM-6676-01A-11D-1835-10,0.0016034581516415375,0.0016053148060831068,0.7920081218882572,0.0016066223963806627,0.06604887587137064,0.1371276068862668
TCGA-AA-3819-01A-01W-0900-09,0.000868414619141952,0.0008673908798213763,0.682906883125238,0.31362420861111373,0.0008661595430202878,0.000866943221664568
TCGA-AA-A029-01A-01W-A00E-09,0.10414577290317822,0.001960400117947646,0.7085893955539485,0.0019606927990176463,0.001960010499588047,0.1813837281263199
TCGA-AA-A01C-01A-01W-A00E-09,0.002172632016978604,0.0021724657387833363,0.8675785633572011,0.12375417617995378,0.0021641455105851945,0.0021580171964978895
TCGA-CA-5256-01A-01D-1408-10,0.04757863482126643,0.002081571861437396,0.5419523536573978,0.002077784868218397,0.002082488111738886,0.40422716667994135
TCGA-CM-6680-01A-11D-1835-10,0.001848896935185524,0.0018483313162064143,0.7945619153576816,0.001852332020689222,0.060045541688797395,0.13984298268143974
TCGA-AA-A03F-01A-11W-A096-10,0.0012317100588058892,0.0012308676559472417,0.5537107167346531,0.0012298915313767732,0.12143865943185427,0.32115815458736274
TCGA-CK-4950-01A-01D-1719-10,0.0008927457414167315,0.03770636589137293,0.850667420693514,0.1089495399512833,0.0008923492431426889,0.00089157847927017
TCGA-D5-6529-01A-11D-1771-10,0.0014775682921893548,0.0014793298189885549,0.5369411995987472,0.0014786776450675372,0.09039411488528265,0.3682291097597247
TCGA-3L-AA1B-01A-11D-A36X-10,0.0011685350853049047,0.0011708725019658936,0.8169844078292292,0.0011696953072927712,0.052053207510696184,0.1274532817655109
TCGA-AA-3844-01A-01W-0995-10,0.0013045130628752582,0.0013047989688935737,0.7971941050752381,0.19758696637855377,0.0013022853982965256,0.0013073311161424612
TCGA-AD-A5EJ-01A-11D-A28G-10,0.00011722533703909655,0.040729619767944134,0.004166705027697381,0.12035219377970036,0.00011705443045257527,0.8345172016571664
TCGA-G4-6306-01A-11D-1771-10,0.0013506505248929988,0.0013514004263233974,0.5094079240903729,0.001346130048227831,0.001348746448409416,0.48519514846177325
TCGA-AA-3821-01A-01W-0995-10,0.00021463623997782015,0.006117596388389364,0.0987601462204533,0.061147130818992756,0.0002145663980128352,0.8335459239341739
TCGA-AA-3833-01A-01W-0900-09,0.00027697344855043114,0.0002768344442380577,0.01606306094463564,0.06007541632638662,0.019054199014277007,0.9042535158219122
TCGA-CM-6164-01A-11D-1650-10,0.002190858115272662,0.0021892063776402194,0.6600235481393955,0.002194085045819244,0.0999400519628635,0.23346225035900903
TCGA-AA-3850-01A-01W-0995-10,0.0013798918363528373,0.0013811749312370096,0.7957218785894418,0.19875277433382565,0.0013818427123918938,0.0013824375967508387
TCGA-AA-3522-01A-01W-0831-10,0.006488990130909221,0.0064725055237716145,0.7365327266471867,0.006484072931768412,0.2375348073404582,0.0064868974259059435
TCGA-A6-6781-01A-22D-A270-10,8.156983121412543e-05,8.165767244221031e-05,8.167014619811309e-05,8.160760505910358e-05,8.168064942937917e-05,0.999591814095657
TCGA-A6-6781-01A-22D-1924-10,8.537971867879633e-05,8.548024821825556e-05,8.548574375415223e-05,8.541199548491678e-05,8.549978135141718e-05,0.9995727425125125
TCGA-AY-4071-01A-01W-1073-09,0.07352498577279983,0.001378125772696323,0.7847308758526702,0.13760437221382876,0.001380397336427552,0.0013812430515772842
TCGA-AA-3811-01A-01W-0995-10,0.019656062723954298,9.325542267254001e-05,9.32169646779734e-05,0.3014551855544037,9.321173193580518e-05,0.6786090676023556
TCGA-AA-3526-01A-02D-1953-10,0.005990960127336846,0.006001138147214095,0.9699207901516892,0.006034716458397651,0.006014749437299343,0.006037645678062915
TCGA-5M-AAT6-01A-11D-A40P-10,8.864686568017032e-05,8.856807727467347e-05,8.864880353292395e-05,0.01560760643009637,8.875388178321048e-05,0.9840377759416327
TCGA-G4-6625-01A-21D-1771-10,0.0014878297618714557,0.001487032137897042,0.8852874306721904,0.001493527128200242,0.001488789119642847,0.10875539118019789
TCGA-G4-6298-01A-11D-1719-10,0.0021666659288273834,0.002167351093937956,0.7360867862577325,0.002162455410260694,0.0021659397263659856,0.25525080158287555
TCGA-AA-3979-01A-01W-0995-10,0.07027161004192416,0.0011142222652965744,0.7305288168550149,0.195853378331971,0.0011161272573956406,0.001115845248397729
TCGA-AA-3972-01A-01W-0995-10,0.0017713602512090454,0.0017725554030346164,0.6911322063972856,0.117729549585393,0.0887748086580639,0.09881951970501388
TCGA-AD-6964-01A-11D-1924-10,0.0001039439807160634,0.013962658857135265,0.00010375343483576316,0.5983209093676267,0.00010378710687602012,0.3874049472528101
TCGA-G4-6294-01A-11D-1806-10,0.0010453387911222194,0.0010471389044354983,0.7865303283961765,0.2092850607043228,0.0010444149744518562,0.0010477182294910822
TCGA-AA-3692-01A-01W-0900-09,0.00258307742557997,0.002587895489400297,0.8812477740982982,0.0025893833870982617,0.00258879122853056,0.10840307837109264
TCGA-AA-3524-01A-02D-1953-10,0.012018461853508142,0.012018986082221782,0.7160956991040834,0.012064537803949041,0.012020457977929578,0.2357818571783081
TCGA-AA-3860-01A-02W-0900-09,0.003108341669373878,0.0031123704286971044,0.8212919275199493,0.16625035392691306,0.0031147808340125575,0.0031222256210541905
TCGA-CA-5255-01A-11D-1835-10,0.0037472303915229745,0.003747903166425392,0.6102909092702963,0.0037514430683475756,0.07932173877719344,0.2991407753262144
TCGA-AA-3858-01A-01W-0900-09,0.002663494246225228,0.002668748664080556,0.7487470767570251,0.002674222870269048,0.0026768336692058452,0.2405696237931943
TCGA-G4-6321-01A-11D-1719-10,0.0026320877873372383,0.0026351336201518266,0.8180960772778274,0.0026371038257257144,0.0026365985257057988,0.17136299896325205
TCGA-AA-A02K-01A-21W-A096-10,0.001202353489663621,0.001202932104404847,0.7018482638271689,0.001204984874943386,0.001203002831983964,0.2933384628718353
TCGA-AA-3697-01A-01D-1719-10,0.0008233545382442135,0.0008221564932107899,0.8750589255088922,0.12165167583031022,0.0008220786399874405,0.0008218089893550591
TCGA-AZ-4616-01A-21D-1835-10,0.08102684621106096,0.0017354528811049416,0.7490389006833091,0.001735487787861362,0.001738931463298134,0.16472438097336548
TCGA-AA-3861-01A-01W-0995-10,0.001382536328134348,0.0013851970231621628,0.8285019936647444,0.0013811968517053685,0.0013827665075861932,0.16596630962466752
TCGA-AA-3986-01A-02W-0995-10,0.001814562861287233,0.10845424899307593,0.727459024042237,0.001806570104192848,0.0018111826814758848,0.1586544113177312
TCGA-A6-6653-01A-11D-1771-10,0.0001571501470679721,0.00015725738732297713,0.05442862635619362,0.013630564527447452,0.007554452687373467,0.9240719488945945
TCGA-F4-6570-01A-11D-1771-10,0.00010490289145075389,0.02295389737796766,0.07950709145752963,0.19471522192349067,0.00010486689155016004,0.7026140194580113
TCGA-AA-A01X-01A-21W-A096-10,0.0022834124252858077,0.0022849291368449856,0.7631074069393013,0.002276976605169322,0.0022819292854263686,0.22776534560797237
TCGA-DM-A28A-01A-21D-A16V-10,0.001179029555814722,0.03817199952169492,0.7090815006836813,0.0011778747668608675,0.0011784483244182777,0.24921114714753
TCGA-G4-6627-01A-11D-2188-10,0.001872992217017308,0.035787286846289096,0.7457122494739169,0.0018709229860861534,0.0018702947198755554,0.21288625375681522
TCGA-AA-3866-01A-01W-0995-10,0.0013642461334328162,0.0013671252333851784,0.7841483102473733,0.0013708641894331854,0.0013687180089365107,0.2103807361874391
TCGA-CK-4952-01A-01D-1719-10,0.0010785162268671167,0.0010794272987063452,0.7168476929647307,0.0010802796646384033,0.0010789425375080247,0.27883514130754944
TCGA-CM-6169-01A-11D-1650-10,0.0014949293993078208,0.0014964626204124719,0.6370456394866567,0.0014913551713838387,0.0014927868821477857,0.3569788264400914
TCGA-AD-6890-01A-11D-1924-10,0.0015091465848011837,0.0015098653087986936,0.798218116124508,0.001501828690198742,0.0015080134058799246,0.19575302988581345
TCGA-CM-6674-01A-11D-1835-10,0.00020272815209545347,0.00020276460082830074,0.0004978906758299269,0.044206841814628764,0.00020311886770613504,0.9546866558889114
TCGA-AA-3971-01A-01W-0995-10,0.001883612829138221,0.0018850685301526604,0.8495447358945026,0.14290476180506598,0.001888344008473854,0.0018934769326665922
TCGA-CK-5912-01A-11D-1650-10,0.0028920407414837353,0.0028989652459769162,0.7242519392562587,0.2641458792506583,0.002904884899826992,0.002906290605795307
TCGA-A6-6648-01A-11D-1771-10,0.001795969678426002,0.0017938979528176018,0.6543435872395487,0.3084056833069665,0.001794957367187547,0.03186590445505376
TCGA-QG-A5YX-01A-11D-A28G-10,0.0017420591475537147,0.0017434603343570213,0.7444999375787763,0.0017314119026855248,0.0017386958336316418,0.2485444352029957
TCGA-QG-A5Z1-01A-11D-A28G-10,0.0016212524663439033,0.0016205618293032753,0.6253081362038271,0.001618501884612482,0.14895330088967473,0.22087824672623843
TCGA-AA-3521-01A-01D-1953-10,0.14076016455700677,0.010554122838505025,0.6426889201866689,0.010497627279444232,0.010517527913148332,0.18498163722522673
