,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
TCGA-AA-3867-01A-01W-0995-10,0.03711632800683494,0.0012650264616315993,0.001264947791051447,0.0012626298954214116,0.0012648272146830925,0.0012647058654916073,0.9552964355336921,0.001265099231193834
TCGA-AD-6895-01A-11D-1924-10,7.205411825376939e-05,7.206954658680673e-05,7.207622310973063e-05,7.19634269680073e-05,0.06523130685179981,0.4274596436608729,0.34217378697006623,0.16484709920234267
TCGA-AA-3560-01A-01D-1953-10,0.006594989532604327,0.0065925634344690814,0.006592602455635,0.006578978032500057,0.00659510471973326,0.015788650103563673,0.9446642802033932,0.006592831518101385
TCGA-CM-6676-01A-11D-1835-10,0.0011925618065435257,0.0011925758625320913,0.07557669257564642,0.0011904796145286833,0.001192183787193991,0.0011923320464546263,0.6275918428155381,0.2908713314915625
TCGA-AA-3819-01A-01W-0900-09,0.0006453516457331476,0.0006453077280625388,0.0006451587878126686,0.0006443327535110802,0.042626227605178396,0.1011761188321484,0.852972313220289,0.000645189427264819
TCGA-AA-A029-01A-01W-A00E-09,0.12591802362960972,0.0014561894078109524,0.0014561393269715947,0.0014534927529751105,0.0014564362610208137,0.0014560857669489687,0.6412336167912898,0.225570016063373
TCGA-AA-A01C-01A-01W-A00E-09,0.001606514002490387,0.0016065768660978278,0.0016057700124774664,0.0016025693041401823,0.07621400853497773,0.0016054690022954373,0.9141536745522101,0.00160541772531097
TCGA-CA-5256-01A-01D-1408-10,0.07390776518188769,0.0015459525433902776,0.001546059003119456,0.0015432157652671193,0.0015458497967016937,0.0015457974480072249,0.3683926581970139,0.5499727020646128
TCGA-CM-6680-01A-11D-1835-10,0.001375852572847732,0.001375673022562097,0.07949601625934259,0.0013736302969654698,0.0013759505049464466,0.0013761059320240982,0.7202513184457197,0.19337545296559194
TCGA-AA-A03F-01A-11W-A096-10,0.08335963653474193,0.0009141058178150206,0.04080349830900829,0.000912412337917661,0.0009138841433553584,0.0009140949495839083,0.49714149604095736,0.37504087186662044
TCGA-CK-4950-01A-01D-1719-10,0.0006626408532732535,0.06411952372435233,0.0006626616838216056,0.0006613781869279244,0.0006626856304541584,0.0006626324977891647,0.9319058872014072,0.0006625902219743028
TCGA-D5-6529-01A-11D-1771-10,0.0010984785954103638,0.0010985727957883485,0.09689743466991974,0.0010964949550919117,0.001098086776512465,0.0010983191377310398,0.4363116605033647,0.46130095256618164
TCGA-3L-AA1B-01A-11D-A36X-10,0.0008694618620704903,0.000869656807185569,0.06616240287738039,0.0008680580897093711,0.0008697155375926882,0.0008694500688530468,0.7004902231426684,0.22900103161454008
TCGA-AA-3844-01A-01W-0995-10,0.0009704714660741419,0.0009705034227411443,0.0009703529529402046,0.0009689958097331869,0.0009703507607483002,0.10065964433179547,0.8935190897722095,0.0009705914837579349
TCGA-AD-A5EJ-01A-11D-A28G-10,8.702848456874516e-05,0.031448572474623876,8.701827906262601e-05,8.68661713320122e-05,8.702601206353655e-05,0.6846905205326708,0.014977933518579463,0.2685350345270989
TCGA-G4-6306-01A-11D-1771-10,0.001002442513599169,0.0010024779544724578,0.0010020629644140798,0.0010000026529342423,0.0010020309802068195,0.11082274917180054,0.47807333924243656,0.40609489452013614
TCGA-AA-3821-01A-01W-0995-10,0.00015954827909442934,0.00015957783855137056,0.00015952345180479964,0.00015923619829461623,0.00015952921638598064,0.33727490356713813,0.09647607939695006,0.5654516020517805
TCGA-AA-3833-01A-01W-0900-09,0.0002057153197055808,0.00020565284191211648,0.00020566940215723843,0.0002052552739626693,0.01915040663960115,0.4384482948357512,0.006646809512460049,0.5349321961744501
TCGA-CM-6164-01A-11D-1650-10,0.001626399043961746,0.0016262973043708322,0.11351287090713211,0.0016233816691148626,0.0016265680874185367,0.17857816880983055,0.699779910906245,0.0016264032719262166
TCGA-AA-3850-01A-01W-0995-10,0.0010264515824380935,0.0010265727594365801,0.0010267100430269842,0.0010245937008396876,0.0010266771039817867,0.0010266442330768412,0.8332910994835976,0.1605512510936024
TCGA-AA-3522-01A-01W-0831-10,0.004817643860005323,0.004815348988234626,0.2109391997868929,0.00480771475415925,0.004816820231239259,0.004816173818339677,0.7601701956390625,0.004816902922066398
TCGA-A6-6781-01A-22D-A270-10,6.067181608938388e-05,6.067294132103274e-05,6.0668956915719185e-05,6.056218810186731e-05,6.067428623031769e-05,0.08117493275108016,6.0665156752619005e-05,0.9184611519035089
TCGA-A6-6781-01A-22D-1924-10,6.350235605776414e-05,6.350494332258413e-05,6.350114285982166e-05,6.338760475715127e-05,6.350674930709285e-05,0.048915918263563264,6.349720577340136e-05,0.950703181734359
TCGA-AY-4071-01A-01W-1073-09,0.07475971393648335,0.001026103562898399,0.0010264294744603177,0.0010245946045279468,0.0010260659080405115,0.0010267281709601124,0.9190841218822047,0.0010262424604246478
TCGA-AA-3811-01A-01W-0995-10,6.932043006231849e-05,6.931561572621715e-05,6.931527712572063e-05,6.917567361479619e-05,6.9294531016608e-05,0.8792127145026033,0.01575707836467815,0.10468378560517276
TCGA-AA-3526-01A-02D-1953-10,0.004469940584685831,0.0044695887367798256,0.004470282216674783,0.004464301373834126,0.1880524538290167,0.004470577467698384,0.1852211915910145,0.6043816642002959
TCGA-5M-AAT6-01A-11D-A40P-10,6.589325558417206e-05,6.588775779100337e-05,6.591469760007655e-05,6.578967624062855e-05,6.588897412522764e-05,0.5131198620222839,6.589671002570915e-05,0.4864848669063493
TCGA-G4-6625-01A-21D-1771-10,0.0011078388316855372,0.0011077810084431667,0.0011079745822222189,0.001106198614620531,0.0011078698078283299,0.001108374779179137,0.9922451957638975,0.0011087666121235781
TCGA-G4-6298-01A-11D-1719-10,0.0016073469559788076,0.0016071016490267205,0.0016066154616470186,0.0016025685205481002,0.001606068099964569,0.0016051698036638887,0.5715085705628543,0.41885655894631635
TCGA-AA-3979-01A-01W-0995-10,0.06821054644545724,0.0008291240674473471,0.0008293785955542488,0.0008278182833138976,0.0008292079831623482,0.09596744020583305,0.8316773139689803,0.0008291704502516765
TCGA-AA-3972-01A-01W-0995-10,0.001318362968526785,0.001318218364639742,0.001318695590964424,0.0013157938115154878,0.12384261474911817,0.0013183920334715982,0.6495035003660716,0.22006442211569238
TCGA-AD-6964-01A-11D-1924-10,7.707730903884997e-05,7.708562894209443e-05,7.70863786640955e-05,7.697073528966432e-05,0.05628005170745735,0.943257510912625,7.711306228932942e-05,7.71042656936441e-05
TCGA-G4-6294-01A-11D-1806-10,0.0007776843032450339,0.0007779035340714114,0.000777665268637292,0.0007764006778859301,0.0007776878003507428,0.08848403862356946,0.9068508645060602,0.0007777552861798459
TCGA-AA-3692-01A-01W-0900-09,0.001925483963412416,0.001925960747908717,0.001926263054749844,0.0019230828878559869,0.0019252149961484337,0.0019263014420006792,0.8646814502663859,0.12376624264153792
TCGA-AA-3524-01A-02D-1953-10,0.008942978906828724,0.00894401214684687,0.008942646550259555,0.008928594222527305,0.008955688964226546,0.008948196286372185,0.7020983376617632,0.24423954526117558
TCGA-AA-3860-01A-02W-0900-09,0.00231760730239723,0.0023182673301541685,0.002318685266129768,0.0023148247187099375,0.0023193090146946525,0.0023199120395004367,0.983772459753486,0.002318934574927652
