,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
TCGA-38-7271-01A-11D-2036-08,0.0018186742026593812,0.001818719417009445,0.45386125680505907,0.001818707506721235,0.0018186479225924287,0.0018185152473003563,0.0018187107317944378,0.0018186791920218755,0.5315894509297985,0.0018186380450432302
TCGA-78-7166-01A-12D-2063-08,0.00041506290058604915,0.2702957868813246,0.00041503540999657674,0.23528105842924824,0.04115928077621072,0.0004150741891878531,0.000415046734807221,0.07506808663925764,0.3761205095828167,0.00041505845656440564
TCGA-55-1594-01A-01D-1040-01,0.0006251823944866205,0.0006251912986772564,0.4281107011532404,0.0006251877530783014,0.0006251917480416235,0.0938888740848506,0.17846609696423138,0.10872679591157289,0.18768160262582662,0.0006251760659943471
TCGA-49-6742-01A-11D-1855-08,0.00034373424113585195,0.00034374058552018777,0.5907055227433657,0.0003437392327143191,0.16502668143966692,0.24186163793517285,0.0003437373072780233,0.00034373644564362674,0.0003437441910528137,0.0003437258784498408
TCGA-44-2661-01A-01D-1105-08,0.002273343921033432,0.0022733265391690553,0.0022737136230537094,0.00227330446872984,0.0022734129310361963,0.5741629670530172,0.0022734945989532932,0.40764968270365154,0.0022732563245286643,0.0022734978368270783
TCGA-44-6147-01A-31D-A27T-08,0.000806669207324875,0.7871965567117871,0.0008066514655926169,0.0008066794765833211,0.2063501104462376,0.0008066447878359836,0.000806682535898383,0.0008066772204228482,0.0008066869784354447,0.0008066411698817431
TCGA-17-Z055-01A-01W-0747-08,0.18716766281653024,0.06594646816754651,0.0001572777651504019,0.5311618277215011,0.00015727934906067888,0.00015728170464604033,0.00015727985315831529,0.032646963786610195,0.07557350842963179,0.1068744504061647
TCGA-49-4505-01A-01D-1931-08,0.00044856339870081105,0.257598138111554,0.00044859374960472964,0.00044856230642063903,0.09820069143093547,0.12576504110720782,0.00044857507051587585,0.24059457059152528,0.2755987105705484,0.0004485536629869846
TCGA-64-5775-01A-01D-1625-08,0.00019729665110507683,0.2299991000144021,0.0001973003149988284,0.0011510312379780557,0.00019729706020110845,0.00019729682392198401,0.00019730013788306876,0.15673794259339924,0.610928137273453,0.0001972978926575158
TCGA-73-4662-01A-01D-1265-08,0.0004674241433918394,0.000467425575261576,0.00046743614778970544,0.031236848559628185,0.0004674297293930114,0.00046742065715142764,0.16480987498033708,0.34167190491464916,0.4594768018023017,0.00046743349009635197
TCGA-44-7671-01A-11D-2063-08,0.000415063212458227,0.0004150636039346582,0.0004150444069362979,0.027885511146439577,0.00041505877786241987,0.00041505311993045925,0.19126364361419138,0.3788900424479278,0.39947046386620827,0.000415055804110902
TCGA-62-A46P-01A-11D-A24D-08,0.00035098129865039656,0.0003509821441282021,0.00035096585560634636,0.003944160543603047,0.00035097518393658597,0.0003509841826206024,0.00035097936891003416,0.26752836082161574,0.7260706272391565,0.00035098336177250423
TCGA-55-6978-01A-11D-1945-08,0.003572305269696027,0.0035721594380170784,0.003571754949822828,0.0035721745736113715,0.0035723248380894715,0.5633858245173519,0.003572235331848416,0.003572256641081746,0.003572050981814318,0.40803691345866683
TCGA-67-3771-01A-01D-1040-01,8.76681803342916e-05,0.020035506142688377,0.2816932679869576,0.15651701612727156,0.2903400968356551,8.766794441901695e-05,0.12524337343091263,0.02467923092706786,0.06175927465847672,0.039556897766216736
TCGA-67-3771-01A-01W-0928-08,0.006934975142743609,0.0444001635184037,0.26041874699236445,0.12252706564739452,0.34468663947885736,8.462688441605816e-05,0.10555143089621799,0.07936632625101729,0.006403806983881463,0.029626218204703424
TCGA-64-5779-01A-01D-1625-08,0.00026603676044267333,0.00026603429992552057,0.00026604094013613674,0.4492862859398277,0.0002660352396991873,0.14183994037461636,0.0002660382152014129,0.00026603641874883946,0.4070115187079875,0.0002660331034147169
TCGA-73-A9RS-01A-11D-A410-08,0.14371105405910828,0.10241149487286366,0.04205512253309005,0.2962000585713597,0.0027837303358089526,9.874382572254103e-05,9.874514107689147e-05,9.874595906971148e-05,0.4124435593618543,9.874534004582908e-05
TCGA-17-Z037-01A-01W-0746-08,0.000704418363378723,0.0007044027239606973,0.0007045043482849183,0.000704390453438938,0.0007043972746494635,0.9936601856016666,0.0007044363174060893,0.000704405228164665,0.0007043933886128053,0.0007044663004370231
TCGA-75-6212-01A-11D-1753-08,0.005264192662646968,0.005264352756160655,0.005265593899027852,0.005264017070061753,0.005264482889250966,0.6657716549036534,0.005264509922045891,0.005264589859242966,0.00526415027130408,0.29211245576660555
TCGA-NJ-A4YI-01A-11D-A25L-08,0.00020795988124759797,0.343644761928008,0.0002079641247499997,0.088022682197244,0.0002079616770798237,0.03679197976503818,0.07714360658817208,0.00024093841078740401,0.4254274188594114,0.028104726568261414
TCGA-MP-A4SW-01A-21D-A24P-08,0.0014710968506524112,0.001471073747695447,0.2251657985341055,0.001471092605436187,0.0014710046835221574,0.7630658129373304,0.001471033624490125,0.0014710853786165303,0.0014710750855945489,0.0014709265525566025
TCGA-75-6211-01A-11D-1753-08,0.3079706481958495,0.10926622238300762,0.00025452546273138605,0.25122774428335554,0.000254526704998965,0.0596010123565292,0.00025453420694269264,0.04067994085374834,0.230236312062215,0.0002545334906217839
TCGA-55-8512-01A-11D-2393-08,0.0024397424202483057,0.0024398049449115547,0.0024398365958215986,0.002439835025253306,0.6946355139212183,0.002439644580305206,0.002439791448677846,0.002439749982630613,0.003458977705797638,0.28482710337513556
TCGA-93-8067-01A-11D-2284-08,0.00018087947402948868,0.00018088072215259463,0.9983720664691034,0.0001808823738716139,0.00018087701237977523,0.00018087795832533586,0.00018089253807035936,0.00018087975577039096,0.00018088164562115707,0.00018088205067592526
TCGA-93-8067-01D-01D-A38P-08,0.0005264913757282296,0.0005265134678178046,0.995261645532584,0.000526505071480734,0.0005264603116430375,0.0005264536369667899,0.000526473689484593,0.0005264833050082733,0.0005265009321488026,0.0005264726771376621
TCGA-93-8067-01C-01D-A38P-08,0.00034853311001665707,0.00034853528997456397,0.9968632088333762,0.0003485379922221756,0.00034852154254746477,0.0003485179208557277,0.0003485385839523309,0.00034853185718332385,0.00034853819896788054,0.0003485366709035271
TCGA-86-8674-01A-21D-2393-08,0.014596648904748936,0.00032796560386241124,0.08507909987021839,0.42198610160819516,0.15114073862336302,0.0003279637611639853,0.0003279619825318649,0.0003279620983378298,0.32555759441006266,0.00032796313751582817
TCGA-75-5146-01A-01D-1625-08,0.0005156210186447622,0.0005156187641014306,0.0005156250447214665,0.14207212495112573,0.1770365353759211,0.0005155937030216048,0.0005156145977321001,0.19480853448374078,0.4829891173764403,0.0005156146845506104
TCGA-97-7546-01A-11D-2036-08,0.0003390809508568627,0.1853289917301733,0.000339066599984494,0.2118621696579224,0.00033908565751236783,0.0003390897619239356,0.21995776811050402,0.0007290163392808276,0.38042664331479437,0.0003390878770473425
TCGA-73-4677-01A-01D-1265-08,0.0003760478684915277,0.0003760475787250498,0.034813599948932225,0.5786334734858377,0.0003760443410079208,0.011866222851029166,0.0003760445097832146,0.37243042755705785,0.00037604658564831847,0.0003760452734869667
TCGA-69-7764-01A-11D-2167-08,0.001087287457305993,0.0010872828301403245,0.0010873250682108151,0.001087294975780022,0.2550572869527177,0.2636305291282452,0.0010872833545367319,0.0010872807127452228,0.14019089170935695,0.3345975378109611
TCGA-17-Z050-01A-01W-0747-08,0.000574882067490565,0.0005748857182551445,0.15843015043377087,0.00057487956902866,0.0005748811653562193,0.19934458089399784,0.0005748882251616412,0.166817192293808,0.301560648166031,0.17097301146709998
TCGA-49-6744-01A-11D-1855-08,0.00046743176453876897,0.48569257948022826,0.00046742606392485874,0.1660795406409518,0.00046742863927868705,0.00046742163655690304,0.00046743416792979455,0.10605310879749964,0.2393702034620608,0.00046742534703046783
TCGA-L4-A4E6-01A-11D-A24D-08,0.011114238435067111,0.011113975487905915,0.01111474282001208,0.011114116744392322,0.01111330295657329,0.011113129847599216,0.5403764889835765,0.37071334028892616,0.01111465499608048,0.011112009439866899
TCGA-55-6987-01A-11D-1945-08,0.0005436374322022553,0.0005436350780072402,0.4271179199540009,0.49404611080889554,0.000543632099478436,0.0005436483602700576,0.0005436427201920555,0.0005436427385163178,0.0005436321982086621,0.07503049861022848
TCGA-L4-A4E5-01A-11D-A24P-08,0.040010493798859605,0.14062322059413587,0.0002748077029659198,0.2287286104451573,0.07433903178599913,0.05665673761934801,0.0002748065774405686,0.0002748072001505266,0.45854267766851636,0.000274806607426758
TCGA-S2-AA1A-01A-12D-A397-08,0.0007754197608624492,0.0007754257364552844,0.0007754136787933116,0.2557059194039743,0.0007754159702289435,0.0007754330199445978,0.000775440658193018,0.15496630897901176,0.5055182684217204,0.0791569543708159
TCGA-50-5066-01A-01D-1625-08,0.29996770158115643,0.09003302311034514,0.0003664089540957735,0.30593352116105726,0.3018673074789997,0.0003664089789791805,0.00036641060353646024,0.00036640480854015396,0.00036640851971904984,0.00036640480357051267
TCGA-44-6774-01A-21D-1855-08,0.0003247706343302991,0.17134133937516158,0.0003247567153312612,0.370976557945391,0.00032476892945893247,0.0003247637545702183,0.00032477018019543084,0.0003247735690455442,0.45540872791848425,0.0003247709780316243
TCGA-05-5423-01A-01D-1625-08,0.0006412140245389414,0.012435350523026087,0.07138488625478243,0.0006412193081780301,0.0006412214064752253,0.0006412285961669421,0.0006412192414285908,0.5470832517005239,0.3652491727642042,0.0006412361806756425
TCGA-55-8096-01A-11D-2238-08,0.2818583845481127,0.2594398171551345,0.0006624456989648896,0.0962940902934059,0.0006624481366367537,0.11895283829781496,0.020657913685003873,0.22014717895953317,0.0006624515131572717,0.0006624317122360025
TCGA-05-4398-01A-01D-1265-08,0.16763470417721485,0.17685427134083867,0.052665859216123524,0.2698853278880388,0.16527203006717092,0.07380550048110338,0.00013499213460921867,0.03429910457614487,0.05931321948860283,0.00013499063015292133
