,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
TCGA-38-7271-01A-11D-2036-08,0.0030653349657149523,0.0030665773879471835,0.46691879590672936,0.5208320167819191,0.0030627921606341925,0.0030544827970551336
TCGA-78-7166-01A-12D-2063-08,0.07031045434238847,0.32791248434030057,0.0006980586260213902,0.47647765288478533,0.06870308847797077,0.05589826132853364
TCGA-55-1594-01A-01D-1040-01,0.0010536089086763268,0.3256317348928498,0.4953146407455717,0.001053620088726957,0.001053593681589572,0.1758928016825856
TCGA-49-6742-01A-11D-1855-08,0.0005791273748018108,0.0005794875776812806,0.6443862203167788,0.0005796744709800158,0.04152430857986308,0.31235118167989484
TCGA-44-2661-01A-01D-1105-08,0.00382930586089693,0.003832339437842911,0.09135392087624375,0.00382894420471715,0.0038351516857529386,0.8933203379345463
TCGA-44-6147-01A-31D-A27T-08,0.001358556036793727,0.6458745228287911,0.001357967175342108,0.0013588314590025972,0.34869296695302193,0.001357155547048613
TCGA-17-Z055-01A-01W-0747-08,0.23765614138709074,0.1754361996862021,0.0002648874778314159,0.3631259853497051,0.15680591287135145,0.06671087322781928
TCGA-49-4505-01A-01D-1931-08,0.0007558968307596047,0.3464641349501154,0.03890672774983576,0.2175252966359612,0.16920186731186698,0.22714607652146102
TCGA-64-5775-01A-01D-1625-08,0.02374490196822282,0.67389356861666,0.0003325680319512418,0.23197304893420323,0.021244942147245486,0.04881097030171725
TCGA-73-4662-01A-01D-1265-08,0.0007874783593512125,0.0007876058761067916,0.031526108482145404,0.560376254420379,0.3161141103565453,0.09040844250547242
TCGA-44-7671-01A-11D-2063-08,0.31644392630575263,0.31633520243082874,0.000699555416640205,0.05254412593668183,0.19260699697337624,0.12137019293672029
TCGA-62-A46P-01A-11D-A24D-08,0.0005914274772918944,0.4937108491814177,0.0005903026151535197,0.3843968260883451,0.0005911326452288835,0.12011946199256296
TCGA-55-6978-01A-11D-1945-08,0.00600496620835901,0.005994945382419369,0.005975457836093051,0.005995820444671146,0.006013445507739179,0.9700153646207182
TCGA-67-3771-01A-01D-1040-01,0.014827931398871534,0.04148014811569844,0.3387160760113237,0.14524624711935188,0.4343311828389742,0.025398414515780232
TCGA-67-3771-01A-01W-0928-08,0.017483835597767627,0.0732385903698327,0.31231590733645465,0.06037204994119176,0.5002848953367307,0.0363047214180226
TCGA-64-5779-01A-01D-1625-08,0.013938315041054711,0.0348021410352606,0.00044886820788976676,0.7760808390963713,0.00044828706133377233,0.17428154955808997
TCGA-73-A9RS-01A-11D-A410-08,0.18443866680795665,0.1956736885708883,0.044888036321398025,0.5271378929693968,0.0476954329928921,0.00016628233746815953
TCGA-17-Z037-01A-01W-0746-08,0.0011840453680032792,0.0011832058690342817,0.0011915153983822484,0.0011823400374187218,0.0011836826241241733,0.9940752107030373
TCGA-75-6212-01A-11D-1753-08,0.008828460633184425,0.008838961469629232,0.008937995665978658,0.008819529424255273,0.00885317580831971,0.9557218769986328
TCGA-NJ-A4YI-01A-11D-A25L-08,0.0003504199841447649,0.5414559797938332,0.030226814930534578,0.31503893809718636,0.02717411548077093,0.08575373171353005
TCGA-MP-A4SW-01A-21D-A24P-08,0.002479756033664118,0.0024787890760264103,0.22684402982054555,0.002479161189535766,0.0024763612568805484,0.7632419026233477
TCGA-75-6211-01A-11D-1753-08,0.45479817882521556,0.22590530589719385,0.0004288356640603945,0.22088400482406087,0.0004289201231761507,0.09755475466629299
TCGA-55-8512-01A-11D-2393-08,0.0041089455691671935,0.004110353176526534,0.004117661937268004,0.004114562791225067,0.9794333114003048,0.004115165125508487
TCGA-93-8067-01A-11D-2284-08,0.0003042919325065483,0.0003045481785399289,0.9984781375985409,0.0003044541087213571,0.00030419032436392946,0.0003043778573274234
TCGA-93-8067-01D-01D-A38P-08,0.0008868718413347923,0.0516702643929986,0.9447845543878735,0.0008872472301361073,0.0008856226719941522,0.0008854394756629651
TCGA-93-8067-01C-01D-A38P-08,0.000586884540034302,0.0005873506248603849,0.9970659725413983,0.0005872513460998982,0.0005864204085063864,0.0005861205391010372
TCGA-86-8674-01A-21D-2393-08,0.1434064109524671,0.051500130728683625,0.10690559740126614,0.5996766606288383,0.0979587068762492,0.000552493412495842
TCGA-75-5146-01A-01D-1625-08,0.005213216300294372,0.40250348593338264,0.0008697505033534942,0.3618854180574448,0.22865934056947357,0.000868788636051092
TCGA-97-7546-01A-11D-2036-08,0.007964695471534833,0.5847441930593379,0.0005721727184813796,0.14536918977080548,0.2339793761752725,0.027370372804567857
TCGA-73-4677-01A-01D-1265-08,0.0006336048203220702,0.13000520796146933,0.05404755415604592,0.6162173922351427,0.0006335374257554173,0.1984627034012646
TCGA-69-7764-01A-11D-2167-08,0.0018320723931825682,0.0018317020352158365,0.0018340159441045387,0.0018322742337310662,0.4241344272598669,0.5685355081338992
TCGA-17-Z050-01A-01W-0747-08,0.014583833438760579,0.3155048093911882,0.16135890820676213,0.03062857442975122,0.000969014668824523,0.4769548598647134
TCGA-49-6744-01A-11D-1855-08,0.017946862931003737,0.6283750533672038,0.0007876012776001183,0.20063899753666417,0.1514634996369699,0.000787985250558282
TCGA-L4-A4E6-01A-11D-A24D-08,0.018724319665512214,0.018765828371278586,0.31167115677620144,0.6134108634845502,0.018684125948049704,0.018743705754407796
TCGA-55-6987-01A-11D-1945-08,0.08749317343146738,0.14769218585056235,0.455537967510082,0.2476791420263012,0.0009162825501761691,0.06068124863141093
TCGA-L4-A4E5-01A-11D-A24P-08,0.14324783959367474,0.24393436040152314,0.0004631239411084449,0.4340404987646358,0.11329872251995264,0.0650154547791053
TCGA-S2-AA1A-01A-12D-A397-08,0.0013070672143114927,0.4434870635581709,0.0013052696465116816,0.42214488206137946,0.0013066155387838996,0.1304491019808426
TCGA-50-5066-01A-01D-1625-08,0.2842029846954363,0.03081492763746727,0.0006179255104945681,0.21943870924525866,0.4643079185485101,0.0006175343628331746
TCGA-44-6774-01A-21D-1855-08,0.02165401219825267,0.42604415427112524,0.0005463756150350963,0.5506611620681652,0.0005473134888107982,0.0005469823586109164
TCGA-05-5423-01A-01D-1625-08,0.0010802209202201232,0.6389652078779248,0.06271520351331442,0.05873551702248155,0.001080770768070949,0.2374230798979882
TCGA-55-8096-01A-11D-2238-08,0.32264363979533606,0.4400642926507505,0.0011173836933856924,0.0011162013988550012,0.01150892007121117,0.2235495623904617
TCGA-05-4398-01A-01D-1265-08,0.17249421374874854,0.2820447324999234,0.08126987343424898,0.22097629934491475,0.13642409320644847,0.10679078776571585
TCGA-71-8520-01A-11D-2393-08,0.001813216219718459,0.0018131695830300623,0.20755606485364822,0.001814201684023634,0.001812427488869704,0.7851909201707099
TCGA-93-A4JO-01A-21D-A24P-08,0.0033053718041850116,0.0033057272341090608,0.2957599943745326,0.00330348547002305,0.3756307031524051,0.3186947179647451
TCGA-44-2656-01A-02D-0969-08,0.0073855358700215855,0.020766497776928735,0.0001841779389554761,0.9457930411402428,0.00018402034524563762,0.025686726928605744
TCGA-NJ-A4YP-01A-11D-A25L-08,0.00028618560986862234,0.06282577014367724,0.8608697614904719,0.07544645468953298,0.0002861549703623566,0.0002856730960869546
TCGA-44-2656-01A-02D-A271-08,0.00020207661510331202,0.022185811250620267,0.00020199079534814212,0.9770059333994495,0.0002020704181993355,0.00020211752127950286
TCGA-49-AAR9-01A-21D-A410-08,0.1825879924368908,0.4591434974756762,0.0002453457334605665,0.35266531664064577,0.0025810575401517886,0.0027767901731749946
TCGA-86-8074-01A-11D-2238-08,0.0023381050513257566,0.0023395535819870387,0.0023478822455782773,0.002338500459669986,0.31568186577020513,0.6749540928912338
