,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
TCGA-38-7271-01A-11D-2036-08,0.0022768522753095423,0.002277158393758746,0.4534688848111548,0.5328708526131877,0.0022766029058241136,0.0022756649881222717,0.0022772080582522548,0.0022767759543905197
TCGA-78-7166-01A-12D-2063-08,0.13332930963863177,0.3720411592692226,0.0005194573080436887,0.4125380496188992,0.0005196419671287183,0.08001321977998573,0.0005195313150067792,0.0005196311030815818
TCGA-55-1594-01A-01D-1040-01,0.0007827167348469909,0.1843360347026651,0.4872308819053665,0.0007827114195487867,0.0007827144715093202,0.1097624603377989,0.004922551237465922,0.21139992919079836
TCGA-49-6742-01A-11D-1855-08,0.00043031793820572323,0.000430363153321867,0.6205644608430136,0.00043039007938191516,0.08137235685551704,0.29591144036282496,0.0004303309583055343,0.0004303398094294112
TCGA-44-2661-01A-01D-1105-08,0.002846396997161497,0.002846822760033611,0.002849150381596334,0.0028464684871558066,0.002847149378227,0.9800691330075574,0.0028479128852178597,0.002846966103050582
TCGA-44-6147-01A-31D-A27T-08,0.001009792804420343,0.7197409785451496,0.0010097626947785866,0.0010098582978108211,0.274200124825236,0.0010097502315829085,0.0010099159082505914,0.0010098166927711126
TCGA-17-Z055-01A-01W-0747-08,0.2434730126123521,0.14447443071016944,0.0001968833409260822,0.39064737833029534,0.11988431261422662,0.08046404477383023,0.016503622870433485,0.004356314747766617
TCGA-49-4505-01A-01D-1931-08,0.0005615693391905465,0.20489331783969802,0.043163277776615896,0.0005615675176031938,0.1794186617300821,0.0007082259454665381,0.000561588512328683,0.5701317913390149
TCGA-64-5775-01A-01D-1625-08,0.0002470020104455652,0.520028490890147,0.0002469987120757295,0.20870770448515544,0.0002470043799629565,0.00024698766769539864,0.015446167878299565,0.2548296439762184
TCGA-73-4662-01A-01D-1265-08,0.0005851514528423743,0.0005851618743815039,0.0005852581828185524,0.32106954010039174,0.023338581594489184,0.0005851441074194406,0.22046565540994345,0.43278550727771375
TCGA-44-7671-01A-11D-2063-08,0.06494214999159914,0.17357089098690476,0.0005194711366039918,0.022288051126721664,0.000519642247984193,0.0005195553446472322,0.25741474532058894,0.48022549384495
TCGA-62-A46P-01A-11D-A24D-08,0.00043940337695294314,0.19472748267529807,0.00043926717901615826,0.3370127758322894,0.0004393618966116916,0.000439375361494592,0.0004394018996172568,0.46606293177871994
TCGA-55-6978-01A-11D-1945-08,0.004470822830973317,0.004469469317406239,0.004466920505773229,0.004469554123279758,0.004471152933337347,0.9687117279647074,0.004470402312318116,0.004469950012204478
TCGA-67-3771-01A-01D-1040-01,0.00010975250307753708,0.030750659641546683,0.2875305817626833,0.09564910947879068,0.37134887566693253,0.006909035599768277,0.16981739825954528,0.03788458708765563
TCGA-67-3771-01A-01W-0928-08,0.0032469953592578105,0.05726414909818111,0.2750089022688937,0.03258501598556727,0.4476494253442781,0.02847673039168662,0.12308717785389083,0.03268160369824461
TCGA-64-5779-01A-01D-1625-08,0.004192000845328062,0.0003330563035284713,0.00033312088030035026,0.7637662412358472,0.0003330552510848467,0.15287583052669607,0.0003330775318022522,0.07783361742541249
TCGA-73-A9RS-01A-11D-A410-08,0.21756874094626028,0.16260454003204486,0.04358959620297254,0.5132598966305086,0.04746047221427221,0.00012361156540343602,0.0001236186096748804,0.015269523798863144
TCGA-17-Z037-01A-01W-0746-08,0.0008815598302087821,0.0008815037102869778,0.0008823791572797938,0.0008813962315258965,0.0008814605510402505,0.9938283482583332,0.0008817522087730415,0.0008816000525520306
TCGA-75-6212-01A-11D-1753-08,0.006586077242620068,0.006587504724256791,0.006599503090846212,0.006585048684748438,0.006588820465987906,0.9538767686791652,0.0065877302878776705,0.006588546824497731
TCGA-NJ-A4YI-01A-11D-A25L-08,0.000260341663079053,0.4604903500724935,0.0002603695020306367,0.2629767858382594,0.0002633346322727915,0.035848126717325374,0.10603521524674818,0.13386547632779103
TCGA-MP-A4SW-01A-21D-A24P-08,0.0018416701084029204,0.0018414702918114428,0.22201859879884214,0.0018415448576870603,0.001841246911191695,0.6681330634101712,0.0018414351359744678,0.10064097048591904
TCGA-75-6211-01A-11D-1753-08,0.3843012624444387,0.2025068106068632,0.00031862534947370465,0.2574032103454341,0.0003186437816762725,0.0884666546783513,0.04389876456690392,0.022786028226858834
TCGA-55-8512-01A-11D-2393-08,0.003054098290939339,0.0030542020781952235,0.0030552140952387037,0.0030543655562782148,0.9786169648258584,0.003055262821531858,0.0030550044467313403,0.0030548878852268793
