,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
TCGA-D8-A146-01A-31D-A10Y-09,0.003031470941412719,0.003030989453970255,0.0030311041674257804,0.0030310345750820217,0.7047008600628051,0.003031289767605122,0.0030309797484340296,0.2710502314278214,0.0030309424323751864,0.0030310974230686135
TCGA-EW-A2FW-01A-11D-A17D-09,0.004348228024062943,0.00434939730290531,0.004349150860937569,0.004349580375242425,0.4124942804393147,0.004349707156402052,0.00434879299469324,0.5527134402261404,0.004349086532947962,0.00434833608735345
TCGA-A7-A0CD-01A-11W-A019-09,0.0037044749798757002,0.003704622112516633,0.0037042964797103072,0.0037054203441166593,0.33385398744479733,0.0037048962958760047,0.00370494057811933,0.6365078127524045,0.0037049794233023465,0.0037045695892811386
TCGA-A8-A09K-01A-11W-A019-09,0.002381539327910478,0.002381434864589357,0.002381477514684437,0.0023814789909413136,0.6435279390431853,0.002381650486222351,0.00238156508934112,0.33741988247032234,0.002381536639296221,0.002381495573507007
TCGA-AR-A0U0-01A-11D-A10G-09,0.002857780000938949,0.19354658367586447,0.0028582689585329793,0.0028578558493785695,0.002857923562515432,0.0028582207175769214,0.6501127003430776,0.0028582313692848468,0.002857775913644567,0.1363346596091857
TCGA-A8-A07G-01A-11W-A050-09,0.0017247068755210833,0.0017246716644361382,0.10168595313374239,0.1346802515180144,0.21300205982233655,0.0017246907284252906,0.2379489466865212,0.30405938952554845,0.0017245916965751007,0.001724738348879244
TCGA-AR-A24Q-01A-12D-A167-09,0.0005748964026201754,0.04265281014429482,0.08358466350778658,0.21488856940440995,0.1734827754849812,0.0005748755914022779,0.4825167382042704,0.0005748610160587612,0.0005748885747384724,0.0005749216694373745
TCGA-D8-A27R-01A-11D-A16D-09,0.19895461482766794,0.0037048704524863993,0.003704833874068053,0.003704898538143224,0.16992070624248043,0.003704778981451754,0.6051906452107813,0.003705028213842109,0.003704910552787255,0.0037047131062915317
TCGA-D8-A1XR-01A-11D-A14K-09,0.004167087660441761,0.4755765059865918,0.004167235508115473,0.004167326869511473,0.004168123916099551,0.491084063565647,0.004167511009285294,0.004167598730695156,0.004167295021469989,0.004167251732142636
TCGA-B6-A0WV-01A-11D-A10G-09,0.0035719045512031663,0.11890090245431788,0.0035725417414386768,0.003571915787226486,0.18432660665287456,0.0035726790516504878,0.6717666998516079,0.0035726475243569745,0.0035719727252258525,0.0035721296600979228
TCGA-E9-A1NA-01A-11D-A142-09,0.08117747381775849,0.0011630888736299057,0.18951114965274293,0.08147501597166518,0.0011631140669112329,0.0011631585078890631,0.6408574923277924,0.0011632199621015667,0.0011631352697758545,0.0011631515497334008
TCGA-BH-A0BS-01A-11D-A12Q-09,0.006667216296720541,0.006667649408630722,0.006667752388507169,0.006667470875230276,0.6827149827276116,0.006668531884963394,0.006668450543064419,0.26394267743469757,0.006667600614126353,0.0066676678264481065
TCGA-B6-A1KI-01A-11D-A14K-09,0.12280039665834512,0.00500196807851531,0.005000911221486381,0.0050008412687693,0.005001467807335019,0.005001405575204313,0.5512179636945663,0.29097210560302716,0.005001021538236934,0.005001918554514156
TCGA-S3-AA11-01A-31D-A41F-09,0.0015156173418177854,0.08641712053993261,0.0015154846034441186,0.25073993273572254,0.22980204045460412,0.001515639663385506,0.30730565473902555,0.001515674847682519,0.0015155771031739424,0.11815725797121138
TCGA-A2-A0CR-01A-11D-A228-09,0.0007875842938291539,0.0007877484471751717,0.8553160510637762,0.0007876267258162547,0.09128811243127442,0.0007875864762483804,0.0007876427474287042,0.0007876210102822535,0.047882454203074395,0.0007875726010952102
TCGA-AO-A03O-01A-11W-A019-09,0.0012661219724128343,0.042401941444138974,0.0012660808167781464,0.0012661270924254012,0.001266184369438788,0.001266178428818758,0.5683687576954756,0.3803663736966409,0.0012661006178425658,0.0012661338660282556
TCGA-E2-A15L-01A-11D-A12B-09,0.00344939223763767,0.003449283246684175,0.003449693698840321,0.003448993680467536,0.0034493057002115794,0.0034492452411117925,0.4667932836285737,0.5056126248425358,0.0034490638422460403,0.0034491138816913464
TCGA-A8-A07F-01A-11W-A019-09,0.0037042354596593993,0.0037047525679433095,0.003705011821822176,0.0037045667362635057,0.003704915494446203,0.003704476661023787,0.3336204805839221,0.6367429401071453,0.0037044241862540244,0.003704196381520169
TCGA-A7-A6VV-01A-22D-A33E-09,0.0020414666521464757,0.0020416736537901565,0.22586371816415265,0.4062670343482974,0.0020414483362283277,0.3535789051693999,0.0020414767756307367,0.0020414937331310013,0.0020413568859196257,0.0020414262813036516
TCGA-A8-A095-01A-11W-A019-09,0.0006371602388085642,0.0006371810298629116,0.865206982617449,0.048579528854830266,0.0006371345662438676,0.0006371610544805592,0.03528906443597735,0.047101433690637864,0.0006371484916972304,0.0006372050200123681
TCGA-A2-A3XW-01A-11D-A23C-09,0.01429829357872592,0.014287661232611859,0.3472790709591426,0.014288044409074172,0.014290209409404859,0.014292751153018002,0.5383906867635143,0.014289840808493636,0.014288865527540126,0.014294576158474506
TCGA-A2-A0EO-01A-11W-A050-09,0.0034493333291199914,0.0034491758864591605,0.0034491509982353735,0.0034495185808315174,0.6698164862744936,0.30258841665239117,0.003449232584181599,0.0034494877782231454,0.0034500085301889284,0.0034491893858754393
TCGA-EW-A1J2-01A-21D-A13L-09,0.003031502806908837,0.003031356278911378,0.16702407756838364,0.0030312950583968666,0.24701239222693985,0.003031120779359762,0.0030310701073327888,0.4442193740410617,0.12355686994391692,0.0030309411887883215
TCGA-AR-A255-01A-11D-A167-09,0.14433377768342612,0.0016673949335862717,0.23287058518446155,0.28003049339989516,0.0016671985488924015,0.0016672377713924512,0.21315173996359849,0.121277190700645,0.00166716502772287,0.001667216786379688
TCGA-A8-A08P-01A-11W-A019-09,0.0014711757032976301,0.09589524266531747,0.22309673866462407,0.0014710029765718727,0.0014710579270191568,0.0014710800382403205,0.5076738720285422,0.16450773089159673,0.0014709587013266372,0.001471140403463886
TCGA-B6-A0RT-01A-21D-A099-09,0.001961378156446711,0.001961308104145457,0.001961491966297348,0.001961386629122613,0.001961209945337591,0.001961190094631488,0.8882075445348927,0.0019612563049417955,0.001961406463523115,0.09610182780066114
TCGA-A2-A0CQ-01A-21W-A050-09,0.0027037446430885656,0.002703584626291953,0.0027033365037422465,0.002703453098049687,0.41650776574566684,0.0027034539491698683,0.2671741358529019,0.29739325124799953,0.0027035337020217634,0.0027037406310679115
TCGA-B6-A0IE-01A-11W-A050-09,0.003125884367007042,0.00312575547875109,0.0031264279397220885,0.003125815557495969,0.3415388092406978,0.0031259874483335263,0.0031261466441705435,0.3768303685218398,0.2597490801886361,0.003125724613345942
TCGA-BH-A0W7-01A-11D-A10Y-09,0.0004696279440861896,0.0004695849498672654,0.9139851457195798,0.03760355670464397,0.04512399279025469,0.00046959482187156564,0.0004696285939239689,0.00046958381742345513,0.00046961544723626825,0.0004696692111128502
TCGA-A2-A0EQ-01A-11W-A050-09,0.0004292645706756178,0.000429275062667366,0.7005547534934737,0.00042930024897431423,0.0004293045331760138,0.035735437474382827,0.23570768567214126,0.00042930639101792,0.025426363574573115,0.00042930897891790533
TCGA-AR-A1AS-01A-11D-A12Q-09,0.12740239936504463,0.0025006544823077373,0.24068743729526404,0.0025005455315585496,0.3787031706347635,0.0025008036706490773,0.0025007915464392615,0.2382030244502778,0.002500459383013257,0.0025007136406819076
TCGA-D8-A27K-01A-11D-A16D-09,0.00500116491286258,0.005000940142863443,0.00500148770845873,0.005001723860750942,0.0050016451639441194,0.005001781014858773,0.217747653386131,0.5703649464972164,0.17687760173146666,0.005001055581447389
TCGA-BH-A0BF-01A-21D-A12Q-09,0.003226734325035162,0.06514023750246352,0.0032269182744892396,0.003226509490301897,0.003226855232951197,0.0032268745671834164,0.5968744912444784,0.31539841591999906,0.003226524274939207,0.0032264391681588516
TCGA-E2-A1IJ-01A-11D-A142-09,0.006668200365495839,0.006667823342178257,0.006667549906046546,0.0066684998553944224,0.006668484447126984,0.30127982254093244,0.006668475179108342,0.0066689114747546215,0.6453736777283844,0.006668555160577997
TCGA-BH-A1F5-01A-12D-A13L-09,0.0031262727022593403,0.003125840564623085,0.003125747954356435,0.003126311566012881,0.5368456070240506,0.003126161549747652,0.1425512670253553,0.29871979584380604,0.0031262566300681986,0.0031267391397204595
