,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
TCGA-D8-A146-01A-31D-A10Y-09,0.005113894667181643,0.005112593631034067,0.16568018549093913,0.005091178445298142,0.4579381692479809,0.3610639785175662
TCGA-EW-A2FW-01A-11D-A17D-09,0.007280646652366996,0.6538120647083914,0.07588575590880607,0.00735342632094474,0.007338987341076318,0.24832911906841462
TCGA-A7-A0CD-01A-11W-A019-09,0.006226924895644273,0.7014579543536145,0.006223136209027268,0.006264672291530787,0.0062513660206375945,0.2735759462295457
TCGA-A8-A09K-01A-11W-A019-09,0.004004243712566684,0.4588800906422565,0.004016001273308746,0.0039997124721832065,0.5250778306923516,0.004022121207333198
TCGA-AR-A0U0-01A-11D-A10G-09,0.12101540968702527,0.004823363471714511,0.15686895816248086,0.004815845156742961,0.5390481201861625,0.1734283033358739
TCGA-A8-A07G-01A-11W-A050-09,0.0029056845315759967,0.3111729317661296,0.1339327764116789,0.08118715395491463,0.3318075161756304,0.1389939371600706
TCGA-AR-A24Q-01A-12D-A167-09,0.023997471977332614,0.0009685782813585565,0.1114321223588,0.18612124479507533,0.676511084141131,0.0009694984463024674
TCGA-D8-A27R-01A-11D-A16D-09,0.12029331808321668,0.3285366117499684,0.0062626706217220815,0.006241422232556853,0.5324385086662116,0.006227468646324398
TCGA-D8-A1XR-01A-11D-A14K-09,0.006983219924175865,0.0070134266631725365,0.007005334323598018,0.007040049824757624,0.5050583362526746,0.46689963301162135
TCGA-B6-A0WV-01A-11D-A10G-09,0.005995854524870624,0.006044247175581341,0.006032524167413868,0.0059805220531191725,0.9698801860964541,0.006066665982560833
TCGA-E9-A1NA-01A-11D-A142-09,0.03684399229112953,0.2185883250677742,0.24833735361945763,0.11952348473238358,0.37474898012176616,0.0019578641674888758
TCGA-BH-A0BS-01A-11D-A12Q-09,0.01116590323999893,0.3234276713217286,0.011221462481327745,0.01116639486980867,0.6317850407420655,0.011233527345070507
TCGA-B6-A1KI-01A-11D-A14K-09,0.10474157025986766,0.4544728761181443,0.008416452025047833,0.008386187380766299,0.4155512279206571,0.008431686295516745
TCGA-S3-AA11-01A-31D-A41F-09,0.12097566287765359,0.0025604927468746356,0.0025476889232009733,0.23835522325899838,0.6330020008816456,0.0025589313116268666
TCGA-A2-A0CR-01A-11D-A228-09,0.001323235625524311,0.0013273987559154932,0.8741800845886406,0.0488078197214983,0.07303685505755544,0.0013246062508658508
TCGA-AO-A03O-01A-11W-A019-09,0.00212648520181624,0.469753850280992,0.0021326645861236195,0.0021269407745905505,0.48389973270204195,0.039960326454435556
TCGA-E2-A15L-01A-11D-A12B-09,0.005797517236053209,0.5308603772198007,0.12014560464604705,0.005792557355818089,0.1642174352430439,0.17318650829923699
TCGA-A8-A07F-01A-11W-A019-09,0.006199815600140729,0.9688380324324336,0.0062710200970121435,0.0062152657699910355,0.006248466659784497,0.006227399440638013
TCGA-A7-A6VV-01A-22D-A33E-09,0.0034408559149562688,0.003442883348661216,0.23056770399793974,0.3999442356676674,0.003442567265332534,0.35916175380544296
TCGA-A8-A095-01A-11W-A019-09,0.036862368909688456,0.04809368235345169,0.8637620350576054,0.04913366558083459,0.0010737478693306863,0.0010745002290891963
TCGA-A2-A3XW-01A-11D-A23C-09,0.22257328862605316,0.023983196540167385,0.2357407940196878,0.023970001510485076,0.4695930996638321,0.0241396196397744
TCGA-A2-A0EO-01A-11W-A050-09,0.005799197040809428,0.0058169813472686615,0.005848328133911807,0.005815793250179993,0.6274182336164756,0.3493014666113544
TCGA-EW-A1J2-01A-21D-A13L-09,0.005094823184877514,0.636799334697365,0.18115995928425954,0.16671147390308538,0.005117648706407892,0.005116760224004444
TCGA-AR-A255-01A-11D-A167-09,0.1594204626399098,0.18932044230169232,0.2523316414511115,0.23219148828491734,0.16392146220394085,0.0028145031184281548
TCGA-A8-A08P-01A-11W-A019-09,0.0024906592339647717,0.12775874354682482,0.2707085207853575,0.0024755259232479066,0.4637593361397701,0.13280721437083498
TCGA-B6-A0RT-01A-21D-A099-09,0.12797466663559962,0.0033087037818649227,0.15113214467855976,0.0033116642730145296,0.7109691882587833,0.00330363237217792
TCGA-A2-A0CQ-01A-21W-A050-09,0.004552004460852616,0.40066308732565326,0.004543735045052624,0.00454544901546613,0.5811347293137625,0.004560994839212734
TCGA-B6-A0IE-01A-11W-A050-09,0.005260103164590177,0.18702958173117654,0.005274128454058175,0.005284292995978377,0.5177973784745747,0.27935451517962206
TCGA-BH-A0W7-01A-11D-A10Y-09,0.0007938904918284747,0.0007897602595954824,0.9266403668769815,0.03633116811566648,0.03465564782007697,0.0007891664358510419
TCGA-A2-A0EQ-01A-11W-A050-09,0.0007228506917426324,0.0007232518345122056,0.7252001616440115,0.0007243566402327905,0.22136238404295686,0.05126699514654417
TCGA-AR-A1AS-01A-11D-A12Q-09,0.1265469689144482,0.004216550430568179,0.32047351004231145,0.004202204247526397,0.3040824166081276,0.24047834975701804
TCGA-D8-A27K-01A-11D-A16D-09,0.008391546136176722,0.6706909382642261,0.008504366917982887,0.008470353629660667,0.008464140089749446,0.29547865496220427
TCGA-BH-A0BF-01A-21D-A12Q-09,0.005420812049910109,0.40119898494160505,0.00546247221266852,0.005419092479872956,0.5770490128892676,0.005449625426675782
