,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
TCGA-D8-A146-01A-31D-A10Y-09,0.0037946311761030884,0.0037943554501261127,0.0037945430302516506,0.003792798269790049,0.6840175036994439,0.003795587601025648,0.0037931461155990298,0.2932174346576606
TCGA-EW-A2FW-01A-11D-A17D-09,0.005438316208473287,0.005442287853949503,0.0054456360068745255,0.005446553449897768,0.39954034487366974,0.005444871208125319,0.005442156867776517,0.5677998335312333
TCGA-A7-A0CD-01A-11W-A019-09,0.004636307853242668,0.004635964802389833,0.004634477774723669,0.004642190684628137,0.26354513783035843,0.004639109961781843,0.004639536268682785,0.7086272748241927
TCGA-A8-A09K-01A-11W-A019-09,0.0029807105826451913,0.0029853372401878416,0.0029804936457647068,0.0029799318547355383,0.6237276342926592,0.0029817232097778487,0.0029808503701718677,0.3583833188040577
TCGA-AR-A0U0-01A-11D-A10G-09,0.1326196947468577,0.0035809297331415866,0.0035799017679327087,0.003577174664327943,0.003578027379380206,0.0926577237127373,0.7568275310790409,0.0035790169165817037
TCGA-A8-A07G-01A-11W-A050-09,0.002159525619913205,0.0021586976327206994,0.13941000850449048,0.11182896183107885,0.002159551069499541,0.0021596593724662115,0.4086671555051554,0.33145644046467565
TCGA-AR-A24Q-01A-12D-A167-09,0.0007200365630477066,0.011856338965917776,0.08545043600818794,0.18713392477107296,0.15340419726901594,0.0007196898346267046,0.5599958041854564,0.0007195724026746462
TCGA-D8-A27R-01A-11D-A16D-09,0.21658645097663837,0.004636777912758143,0.004640307970316935,0.004638456636791183,0.004639947261656795,0.004637601863463175,0.755580603548853,0.0046398538295222905
TCGA-D8-A1XR-01A-11D-A14K-09,0.005212148218617212,0.005215041138824541,0.005212849581694775,0.005218562765898513,0.5254624198842581,0.44324441387076485,0.0052175050453363405,0.005217059494605677
TCGA-B6-A0WV-01A-11D-A10G-09,0.0044693353709159105,0.10780503751876443,0.004473609740289659,0.00446813462389621,0.11637529377408554,0.004474751490465412,0.7534594541977064,0.004474383283876247
TCGA-E9-A1NA-01A-11D-A142-09,0.07045004667532591,0.0014559812750627777,0.2114102118364479,0.07119940553304274,0.0014559791891488824,0.0014559729421381575,0.5752319468664969,0.06734045568233667
TCGA-BH-A0BS-01A-11D-A12Q-09,0.008340133173139034,0.008352925792225581,0.008342539978977784,0.00833959195660157,0.6655410182666883,0.008347446401006207,0.008346420599857194,0.2843899238315042
TCGA-B6-A1KI-01A-11D-A14K-09,0.11259275413874896,0.006263746287532505,0.006257713930239029,0.006256738372407274,0.006261237319420475,0.006260627344223612,0.4937557456987197,0.3623514369087083
TCGA-S3-AA11-01A-31D-A41F-09,0.10865764697991757,0.0018974623375405317,0.0018964115282214104,0.23048459722262166,0.29437277467069417,0.0018978551723962342,0.3588952143758753,0.0018980377127330698
TCGA-A2-A0CR-01A-11D-A228-09,0.0009855803091228202,0.0009860891768491342,0.8560130182582019,0.030833464202321956,0.10822374266912348,0.0009858450365521233,0.0009861897710697883,0.0009860705767589547
TCGA-AO-A03O-01A-11W-A019-09,0.0015845748175786392,0.0015847977638286449,0.0015841976067786994,0.0015845645514868327,0.0015852207064316459,0.0015850639805124517,0.5871070929137368,0.4033844876596463
TCGA-E2-A15L-01A-11D-A12B-09,0.004317097774514464,0.00431738250443,0.004320989324140264,0.004315879368851931,0.0043184528394633655,0.004318054639008024,0.44414344742098527,0.5299486961286067
TCGA-A8-A07F-01A-11W-A019-09,0.004633260368437463,0.0046370076023724,0.004639634813562203,0.004635982874748707,0.004638224927767314,0.004635663196859868,0.30221968741393396,0.669960538802318
TCGA-A7-A6VV-01A-22D-A33E-09,0.0025558749085714833,0.002553723094763888,0.22922133016998766,0.3984195123145185,0.002556013936337944,0.3595809760719828,0.0025563551626394563,0.0025562143411982058
TCGA-A8-A095-01A-11W-A019-09,0.03464142183503091,0.0007973009999271994,0.862077282129418,0.05325161436059252,0.0007976971617482707,0.0007977075580413183,0.0007977556922133186,0.04683922026302852
TCGA-A2-A3XW-01A-11D-A23C-09,0.21156778624102307,0.017890864380369062,0.2643684043936568,0.017878056449452274,0.017896198665551227,0.017909035204991746,0.4346091941425923,0.01788046052236352
TCGA-A2-A0EO-01A-11W-A050-09,0.004317339751277481,0.004316587401683296,0.004317870058441254,0.004318725735702254,0.6555012130745367,0.31859099616654357,0.004317741584669604,0.00431952622714594
TCGA-EW-A1J2-01A-21D-A13L-09,0.003794050688435543,0.0037929123582531943,0.14508597734216833,0.003797407929264432,0.36097934925342856,0.0037952852276488297,0.0037938563542591936,0.47496116084654183
TCGA-AR-A255-01A-11D-A167-09,0.1609267867713496,0.002088217052828708,0.25736101247104975,0.2747074321005201,0.1398388359421448,0.0020875390375879096,0.002087522757155398,0.16090265386736363
TCGA-A8-A08P-01A-11W-A019-09,0.0018419911318823556,0.14503993297329779,0.2509872049052675,0.0018415894543668747,0.0018419475955110268,0.0018419995610921174,0.39904127192440414,0.19756406245417826
TCGA-B6-A0RT-01A-21D-A099-09,0.0981501891703895,0.002455690505725669,0.0024563599968673764,0.002455502200350889,0.0024544482347618585,0.00245422796275136,0.887118945140116,0.002454636789037349
TCGA-A2-A0CQ-01A-21W-A050-09,0.0033854047012876133,0.0033831280700462717,0.0033831575741639836,0.003383640938664833,0.38230283951424315,0.0033843087659593393,0.280628525781508,0.3201489946541267
TCGA-B6-A0IE-01A-11W-A050-09,0.003911872504522659,0.09826812854908579,0.003916818990381559,0.14581589681033555,0.3208010691409704,0.003914122284787374,0.003915021876629163,0.41945706984328746
TCGA-BH-A0W7-01A-11D-A10Y-09,0.0005884380839570608,0.0005887073133027675,0.9399238105810962,0.0565471700061713,0.0005881420991259515,0.0005878939012156282,0.000588113072268365,0.0005877249428626847
